cudagraph_mode,batch_size,sm_clock,input_len,model_name,power_based_avg_power_W
FULL,128,330,1000,Qwen/Qwen3-1.7B_decoding-all,128.57250000000002
FULL,64,330,1000,Qwen/Qwen3-1.7B_decoding-all,123.84085185185184
FULL,32,330,1000,Qwen/Qwen3-1.7B_decoding-all,107.7179393939394
FULL,16,330,1000,Qwen/Qwen3-1.7B_decoding-all,101.87903030303032
FULL,8,330,1000,Qwen/Qwen3-1.7B_decoding-all,94.95219444444444
FULL,4,330,1000,Qwen/Qwen3-1.7B_decoding-all,90.87563636363636
FULL,2,330,1000,Qwen/Qwen3-1.7B_decoding-all,88.65169393939395
FULL,1,330,1000,Qwen/Qwen3-1.7B_decoding-all,92.78809166666667
FULL,128,630,1000,Qwen/Qwen3-1.7B_decoding-all,164.26041025641027
FULL,64,630,1000,Qwen/Qwen3-1.7B_decoding-all,158.44421666666668
FULL,32,630,1000,Qwen/Qwen3-1.7B_decoding-all,139.11527777777778
FULL,16,630,1000,Qwen/Qwen3-1.7B_decoding-all,128.7858888888889
FULL,8,630,1000,Qwen/Qwen3-1.7B_decoding-all,119.301576007326
FULL,4,630,1000,Qwen/Qwen3-1.7B_decoding-all,113.30158333333333
FULL,2,630,1000,Qwen/Qwen3-1.7B_decoding-all,110.09704220085472
FULL,1,630,1000,Qwen/Qwen3-1.7B_decoding-all,113.90611645299145
FULL,128,930,1000,Qwen/Qwen3-1.7B_decoding-all,180.981453125
FULL,64,930,1000,Qwen/Qwen3-1.7B_decoding-all,169.9510332051282
FULL,32,922,1000,Qwen/Qwen3-1.7B_decoding-all,156.0406964285714
FULL,16,922,1000,Qwen/Qwen3-1.7B_decoding-all,143.98028484848484
FULL,8,922,1000,Qwen/Qwen3-1.7B_decoding-all,133.96656428571427
FULL,8,930,1000,Qwen/Qwen3-1.7B_decoding-all,134.021
FULL,4,930,1000,Qwen/Qwen3-1.7B_decoding-all,126.88197261904762
FULL,2,930,1000,Qwen/Qwen3-1.7B_decoding-all,123.01985040293042
FULL,1,922,1000,Qwen/Qwen3-1.7B_decoding-all,125.68525075757574
FULL,1,930,1000,Qwen/Qwen3-1.7B_decoding-all,125.68118939393939
FULL,128,1230,1000,Qwen/Qwen3-1.7B_decoding-all,211.03804259259255
FULL,64,1230,1000,Qwen/Qwen3-1.7B_decoding-all,194.62035879629627
FULL,32,1230,1000,Qwen/Qwen3-1.7B_decoding-all,180.79917824074073
FULL,16,1230,1000,Qwen/Qwen3-1.7B_decoding-all,168.45923148148145
FULL,8,1230,1000,Qwen/Qwen3-1.7B_decoding-all,156.82278703703702
FULL,4,1230,1000,Qwen/Qwen3-1.7B_decoding-all,150.06957407407407
FULL,2,1230,1000,Qwen/Qwen3-1.7B_decoding-all,144.52495949074077
FULL,1,1230,1000,Qwen/Qwen3-1.7B_decoding-all,147.01458333333332
FULL,128,1530,1000,Qwen/Qwen3-1.7B_decoding-all,263.6367916666667
FULL,64,1530,1000,Qwen/Qwen3-1.7B_decoding-all,242.79790856481478
FULL,32,1530,1000,Qwen/Qwen3-1.7B_decoding-all,225.30563636363632
FULL,16,1530,1000,Qwen/Qwen3-1.7B_decoding-all,206.2331759259259
FULL,8,1530,1000,Qwen/Qwen3-1.7B_decoding-all,190.5141148148148
FULL,4,1530,1000,Qwen/Qwen3-1.7B_decoding-all,180.78896296296296
FULL,2,1530,1000,Qwen/Qwen3-1.7B_decoding-all,173.23007407407408
FULL,1,1530,1000,Qwen/Qwen3-1.7B_decoding-all,176.7736851851852
FULL,128,1830,1000,Qwen/Qwen3-1.7B_decoding-all,313.51821666666666
FULL,64,1830,1000,Qwen/Qwen3-1.7B_decoding-all,286.0226262626263
FULL,32,1822,1000,Qwen/Qwen3-1.7B_decoding-all,265.50065740740735
FULL,16,1830,1000,Qwen/Qwen3-1.7B_decoding-all,242.17144444444446
FULL,8,1830,1000,Qwen/Qwen3-1.7B_decoding-all,224.62019999999998
FULL,4,1830,1000,Qwen/Qwen3-1.7B_decoding-all,213.01111111111115
FULL,2,1830,1000,Qwen/Qwen3-1.7B_decoding-all,203.60137962962963
FULL,1,1830,1000,Qwen/Qwen3-1.7B_decoding-all,207.76294444444443
FULL,128,2130,1000,Qwen/Qwen3-1.7B_decoding-all,348.7869636363636
FULL,64,2130,1000,Qwen/Qwen3-1.7B_decoding-all,303.0324694444445
FULL,32,2122,1000,Qwen/Qwen3-1.7B_decoding-all,296.72132727272725
FULL,16,2130,1000,Qwen/Qwen3-1.7B_decoding-all,295.8543265151515
FULL,8,2130,1000,Qwen/Qwen3-1.7B_decoding-all,274.1482151515151
FULL,4,2130,1000,Qwen/Qwen3-1.7B_decoding-all,260.01480000000004
FULL,2,2122,1000,Qwen/Qwen3-1.7B_decoding-all,248.13636060606058
FULL,1,2122,1000,Qwen/Qwen3-1.7B_decoding-all,252.63778333333335
FULL,128,2422,1000,Qwen/Qwen3-1.7B_decoding-all,395.7842083333334
FULL,64,2422,1000,Qwen/Qwen3-1.7B_decoding-all,361.58569421487596
FULL,32,2422,1000,Qwen/Qwen3-1.7B_decoding-all,341.52169421487605
FULL,16,2422,1000,Qwen/Qwen3-1.7B_decoding-all,314.52959504132235
FULL,8,2422,1000,Qwen/Qwen3-1.7B_decoding-all,292.16018526170797
FULL,4,2422,1000,Qwen/Qwen3-1.7B_decoding-all,280.6750330578512
FULL,2,2287,1000,Qwen/Qwen3-1.7B_decoding-all,285.257232231405
FULL,1,2280,1000,Qwen/Qwen3-1.7B_decoding-all,286.84078512396695
