cudagraph_mode,batch_size,sm_clock,input_len,model_name,throughput_tokens_per_sec
FULL,128,330,1000,Qwen/Qwen3-1.7B_decoding-all,2940.3460075135795
FULL,64,330,1000,Qwen/Qwen3-1.7B_decoding-all,2554.2434215424933
FULL,32,330,1000,Qwen/Qwen3-1.7B_decoding-all,1514.5875189508324
FULL,16,330,1000,Qwen/Qwen3-1.7B_decoding-all,970.6190344362728
FULL,8,330,1000,Qwen/Qwen3-1.7B_decoding-all,545.8356249907096
FULL,4,330,1000,Qwen/Qwen3-1.7B_decoding-all,295.8355824464442
FULL,2,330,1000,Qwen/Qwen3-1.7B_decoding-all,153.23112361144726
FULL,1,330,1000,Qwen/Qwen3-1.7B_decoding-all,90.65593787608597
FULL,128,630,1000,Qwen/Qwen3-1.7B_decoding-all,4740.231859167025
FULL,64,630,1000,Qwen/Qwen3-1.7B_decoding-all,4149.126102132725
FULL,32,630,1000,Qwen/Qwen3-1.7B_decoding-all,2582.5599713438774
FULL,16,630,1000,Qwen/Qwen3-1.7B_decoding-all,1612.381580317174
FULL,8,630,1000,Qwen/Qwen3-1.7B_decoding-all,897.3103579830865
FULL,4,630,1000,Qwen/Qwen3-1.7B_decoding-all,476.38498334070374
FULL,2,630,1000,Qwen/Qwen3-1.7B_decoding-all,248.21210596855838
FULL,1,630,1000,Qwen/Qwen3-1.7B_decoding-all,138.30696579459945
FULL,128,930,1000,Qwen/Qwen3-1.7B_decoding-all,5424.376665125966
FULL,64,930,1000,Qwen/Qwen3-1.7B_decoding-all,4502.219638711685
FULL,32,922,1000,Qwen/Qwen3-1.7B_decoding-all,3046.7567244331526
FULL,16,922,1000,Qwen/Qwen3-1.7B_decoding-all,1902.2444340744528
FULL,8,922,1000,Qwen/Qwen3-1.7B_decoding-all,1080.3762689764364
FULL,8,930,1000,Qwen/Qwen3-1.7B_decoding-all,1080.577550069865
FULL,4,930,1000,Qwen/Qwen3-1.7B_decoding-all,567.205465290099
FULL,2,930,1000,Qwen/Qwen3-1.7B_decoding-all,296.0875602385036
FULL,1,922,1000,Qwen/Qwen3-1.7B_decoding-all,161.00238032266597
FULL,1,930,1000,Qwen/Qwen3-1.7B_decoding-all,160.9580363339907
FULL,128,1230,1000,Qwen/Qwen3-1.7B_decoding-all,6479.888626914224
FULL,64,1230,1000,Qwen/Qwen3-1.7B_decoding-all,5246.832889534415
FULL,32,1230,1000,Qwen/Qwen3-1.7B_decoding-all,3603.4029389017783
FULL,16,1230,1000,Qwen/Qwen3-1.7B_decoding-all,2303.550807592519
FULL,8,1230,1000,Qwen/Qwen3-1.7B_decoding-all,1326.124210216511
FULL,4,1230,1000,Qwen/Qwen3-1.7B_decoding-all,715.2330088636052
FULL,2,1230,1000,Qwen/Qwen3-1.7B_decoding-all,370.2172322763271
FULL,1,1230,1000,Qwen/Qwen3-1.7B_decoding-all,200.02556563978015
FULL,128,1530,1000,Qwen/Qwen3-1.7B_decoding-all,7972.342969423412
FULL,64,1530,1000,Qwen/Qwen3-1.7B_decoding-all,6461.789154733821
FULL,32,1530,1000,Qwen/Qwen3-1.7B_decoding-all,4422.971072105683
FULL,16,1530,1000,Qwen/Qwen3-1.7B_decoding-all,2799.4911439475486
FULL,8,1530,1000,Qwen/Qwen3-1.7B_decoding-all,1610.7008240340954
FULL,4,1530,1000,Qwen/Qwen3-1.7B_decoding-all,869.6044925550655
FULL,2,1530,1000,Qwen/Qwen3-1.7B_decoding-all,450.56945238961987
FULL,1,1530,1000,Qwen/Qwen3-1.7B_decoding-all,244.9239412142125
FULL,128,1830,1000,Qwen/Qwen3-1.7B_decoding-all,9301.518438177874
FULL,64,1830,1000,Qwen/Qwen3-1.7B_decoding-all,7480.309205903021
FULL,32,1822,1000,Qwen/Qwen3-1.7B_decoding-all,5125.365815075536
FULL,16,1830,1000,Qwen/Qwen3-1.7B_decoding-all,3231.2077792537475
FULL,8,1830,1000,Qwen/Qwen3-1.7B_decoding-all,1878.1332789891992
FULL,4,1830,1000,Qwen/Qwen3-1.7B_decoding-all,1017.2734363885226
FULL,2,1830,1000,Qwen/Qwen3-1.7B_decoding-all,526.7275627673517
FULL,1,1830,1000,Qwen/Qwen3-1.7B_decoding-all,288.117394416607
FULL,128,2130,1000,Qwen/Qwen3-1.7B_decoding-all,9702.623906705538
FULL,64,2130,1000,Qwen/Qwen3-1.7B_decoding-all,7781.335011196031
FULL,32,2122,1000,Qwen/Qwen3-1.7B_decoding-all,5420.377417709599
FULL,16,2130,1000,Qwen/Qwen3-1.7B_decoding-all,3462.488402179736
FULL,8,2130,1000,Qwen/Qwen3-1.7B_decoding-all,2032.003035861109
FULL,4,2130,1000,Qwen/Qwen3-1.7B_decoding-all,1106.9515232611168
FULL,2,2122,1000,Qwen/Qwen3-1.7B_decoding-all,572.7235483553126
FULL,1,2122,1000,Qwen/Qwen3-1.7B_decoding-all,312.02143065342204
FULL,128,2422,1000,Qwen/Qwen3-1.7B_decoding-all,9839.811232787983
FULL,64,2422,1000,Qwen/Qwen3-1.7B_decoding-all,7933.088806382245
FULL,32,2422,1000,Qwen/Qwen3-1.7B_decoding-all,5579.036348267117
FULL,16,2422,1000,Qwen/Qwen3-1.7B_decoding-all,3614.4942950655236
FULL,8,2422,1000,Qwen/Qwen3-1.7B_decoding-all,2140.676140802838
FULL,4,2422,1000,Qwen/Qwen3-1.7B_decoding-all,1165.4878732973411
FULL,2,2287,1000,Qwen/Qwen3-1.7B_decoding-all,590.8050371351178
FULL,1,2280,1000,Qwen/Qwen3-1.7B_decoding-all,319.9606757280854
